siteCode,cityName,cityCode,cityEnName,siteName,siteEnName,countryCode,countryName,countryEnName,siteType
"ZD64452","普罗维登斯","USAPVD","","普罗维登斯机场","/","USA","美国","United States","1"
"ZD18913","匹兹堡","USAPIT","Pittsburgh","匹兹堡国际机场","/","USA","美国","United States","1"
"ZD98563","明尼阿波利斯","USAMES","Minneapolis","圣保罗国际机场","Minneapolis-Saint Paul International Airport","USA","美国","United States","1"
"ZD39737","拉斯维加斯","USALAS","Las Vegas","麦卡伦国际机场","","USA","美国","United States","1"
"ZD45975","迈阿密","USAMIA","Miami","迈阿密国际机场","","USA","美国","United States","1"
"ZD25442","洛杉矶","USALAX","Los Angeles","洛杉矶国际机场","","USA","美国","United States","1"
"ZD44566","圣路易斯","USASTL","St Louis","兰伯特圣路易斯国际机场","/","USA","美国","United States","1"
"ZD65461","纽约","USAYAMX","New York","拉瓜迪亚机场","/","USA","美国","United States","1"
"ZD90262","纽约","USAYAMX","New York","纽约肯尼迪机场","Kennedy International Airport ","USA","美国","United States","1"
"ZD86103","克利夫兰","USACLE","Cleveland","克利夫兰机场","/","USA","美国","United States","1"
"ZD96166","卡胡卢伊","USA8132","Kahului","卡胡鲁伊机场","/","USA","美国","United States","1"
"ZD03866","旧金山","USASFO","San Francisco","旧金山国际机场","","USA","美国","United States","1"
"ZD82393","巴尔的摩","USABAL","Baltimore","华盛顿国际机场","/","USA","美国","United States","1"
"ZD82023","华盛顿","USAWAS","Washington","华盛顿杜勒斯国际机场","","USA","美国","United States","1"
"ZD07648","圣何塞","USASJC","San Jose","胡安.圣玛丽亚国际机场","/","USA","美国","United States","1"
"ZD31848","亚特兰大","USATAT","Atlanta","亚特兰大国际机场","","USA","美国","United States","1"
"ZD11755","费城","USAPHL","Philadelphia","费城国际机场","","USA","美国","United States","1"
"ZD17151","底特律","USADET","Detroit","底特律都会机场","","USA","美国","United States","1"
"ZD87453","丹佛","USADEN","Denver","丹佛国际机场","","USA","美国","United States","1"
"ZD29635","达拉斯","USADAC","Dallas","达拉斯沃斯堡机场","/","USA","美国","United States","1"
"ZD55750","查尔斯顿","USACHS","Charleston","查尔斯顿国际机场","/","USA","美国","United States","1"
"ZD22484","布法罗","USA0001","Buffalo","布法罗机场","/","USA","美国","United States","1"
"ZD14926","波特兰","USAPOL","Portland","波特兰国际机场","Portland International Airport","USA","美国","United States","1"
"ZD81737","波士顿","USABZD","Boston","洛根国际机场","","USA","美国","United States","1"
"ZD55433","辛辛那提","USACVG","Cincinnati","北肯塔基国际机场","/","USA","美国","United States","1"
"ZD91437","奥兰多","USAORL","Orlando","奥兰多国际机场","","USA","美国","United States","1"
"ZD44377","休斯敦","USAHOU","Houston","安德劳机场","/","USA","美国","United States","1"
"ZD77427","安大略","USA8366","Ontario","安大略国际机场","/","USA","美国","United States","1"
